field,statistic,value,unit,notes
dataset,total_records,244477,records,
dataset,node_count,51,nodes,
event_time,missing,0,records,
event_time,min,2025-12-08 13:15:00,timestamp,
event_time,max,2026-02-28 23:45:00,timestamp,
current_speed,missing_or_nonfinite,0,records,
current_speed,zero,0,records,
current_speed,negative,0,records,
current_speed,min,14.0,native_unit,
current_speed,p1,31.0,native_unit,
current_speed,p5,51.0,native_unit,
current_speed,p10,65.0,native_unit,
current_speed,p25,89.0,native_unit,
current_speed,median,94.0,native_unit,
current_speed,p75,100.0,native_unit,
current_speed,p90,100.0,native_unit,
current_speed,p95,100.0,native_unit,
current_speed,p99,100.0,native_unit,
current_speed,max,100.0,native_unit,
current_travel_time,missing_or_nonfinite,0,records,
current_travel_time,zero,0,records,
current_travel_time,negative,0,records,
current_travel_time,min,343.0,native_unit,
current_travel_time,p1,370.0,native_unit,
current_travel_time,p5,396.0,native_unit,
current_travel_time,p10,781.0,native_unit,
current_travel_time,p25,794.0,native_unit,
current_travel_time,median,807.0,native_unit,
current_travel_time,p75,1126.0,native_unit,
current_travel_time,p90,1215.0,native_unit,
current_travel_time,p95,1458.0,native_unit,
current_travel_time,p99,1580.0,native_unit,
current_travel_time,max,2155.0,native_unit,
confidence,missing_or_nonfinite,0,records,
confidence,zero,0,records,
confidence,negative,0,records,
confidence,min,0.5,native_unit,
confidence,p1,0.89,native_unit,
confidence,p5,1.0,native_unit,
confidence,p10,1.0,native_unit,
confidence,p25,1.0,native_unit,
confidence,median,1.0,native_unit,
confidence,p75,1.0,native_unit,
confidence,p90,1.0,native_unit,
confidence,p95,1.0,native_unit,
confidence,p99,1.0,native_unit,
confidence,max,1.0,native_unit,
confidence,below_0.8,1170,records,
confidence,at_least_0.8,243307,records,
node_id+event_time,duplicate_rows_in_groups,1614,records,
node_id+event_time,duplicate_excess_rows,807,records,
node_id+event_time,duplicate_groups,807,records,
