assertion,pass,violation_count,sample_count_checked
unique_sample_id,True,0,1053618
history_length_24,True,0,1053618
history_strictly_increasing,True,0,1053618
history_at_or_before_origin,True,0,1053618
target_strictly_after_origin,True,0,1053618
target_fully_inside_split,True,0,1053618
target_not_imputed,True,0,1053618
no_history_target_overlap,True,0,1053618
node_consistent,True,0,1053618
target_recomputation_constructed_from_row_ids,True,0,1053618
H1_requires_1_of_1,True,0,1053618
H3_requires_3_of_3,True,0,1053618
H6_requires_at_least_5_of_6,True,0,1053618
scaler_train_only,True,0,1053618
medians_train_only,True,0,1053618
regime_thresholds_train_only_or_not_used,True,0,1053618
no_backward_fill,True,0,1053618
no_centered_rolling,True,0,1053618
no_future_merge,True,0,1053618
common_manifest_all_models,True,0,1053618
