sample_id,fold,split,node_id,forecast_origin,horizon,stored_target,recomputed_target,absolute_difference,target_match,history_length,history_latest_le_origin,target_observed_count_recomputed
b27d2cd0384cc6d8bd05386c,3,train,N009,2025-12-19 01:00:00,6,90.0,90.0,0.0,True,24,True,6
8c11faef7dedc58dae9181ec,4,test,N004,2026-02-10 04:00:00,3,90.0,90.0,0.0,True,24,True,3
daf7748c5e3e2cae705887ce,5,train,N039,2025-12-13 03:00:00,1,100.0,100.0,0.0,True,24,True,1
04346684ad4254080d8fa3bf,6,train,N029,2025-12-16 18:00:00,3,95.44444444444444,95.44444444444444,0.0,True,24,True,3
06262c85159610a4b10445da,4,train,N037,2026-01-01 20:00:00,3,100.0,100.0,0.0,True,24,True,3
03cc4b51e37dc3e3c9cafa49,5,train,N007,2026-01-24 10:00:00,6,90.0,90.0,0.0,True,24,True,5
75deecf68e72701f929c0e9c,1,train,N038,2026-01-01 13:00:00,1,100.0,100.0,0.0,True,24,True,1
7f06b358705f1f9b6cef3be4,2,train,N013,2025-12-14 09:00:00,1,94.0,94.0,0.0,True,24,True,1
0b1552601853a45b1d053699,6,test,N021,2026-02-28 20:00:00,1,100.0,100.0,0.0,True,24,True,1
9f46f9dacf497ac2bd3b46d1,1,train,N013,2025-12-12 02:00:00,6,94.0,94.0,0.0,True,24,True,6
ccee682fb1a3b20c4f6c6442,2,train,N017,2026-01-03 17:00:00,1,99.0,99.0,0.0,True,24,True,1
ad52c60252400ca2f81074d4,5,train,N030,2026-01-12 04:00:00,6,98.0,98.0,0.0,True,24,True,6
a648b7d170adc9006abea595,4,train,N009,2026-01-15 18:00:00,1,90.0,90.0,0.0,True,24,True,1
89db0e4549f5b2c4e4a2f09c,2,train,N027,2026-01-09 17:00:00,1,100.0,100.0,0.0,True,24,True,1
0ccdb52ae56869836ab4c386,2,train,N033,2026-01-11 14:00:00,6,100.0,100.0,0.0,True,24,True,5
8198fd99cf4c859a31a2f6c3,3,validation,N035,2026-01-26 20:00:00,1,100.0,100.0,0.0,True,24,True,1
