fold,horizon,sample_count,test_count,train_count,validation_count,manifest_sha256
1,1,50269,5978,38044,6247,d5bfc7da0fee2c238e108932e8b2c0a6dc39780999c656433adfba6b99b0a845
1,3,40394,2919,34063,3412,ee1bb8b2bf340ecff597bd860e309b9be166aefa8490ffcf68fd5d48109e768a
1,6,44336,3511,36718,4107,eb5202ad51224bbeb0719a5cbfb9ceb43c8a523c80a944981fb87cafcd4df27f
2,1,56858,6540,44340,5978,9b955a443ba712bf31faebecbf7f6084d41a7ec7f817312b52983fffd852f87e
2,3,44343,3836,37588,2919,d0424abbdca58a9f4774d2c6c51c768d08fe3b33ca9ac110c7a0379e32085891
2,6,49424,4824,41089,3511,d060dad478386b0eb849871448dfc56be6ab76e933be72b6183c99536f856e56
3,1,64056,7164,50352,6540,4e04737e8d3f764989de4faf8a5b6bd7d9202de68aaec1f1eb79807300bca7b3
3,3,49425,5027,40562,3836,63de69a35fb8f4981c6ca47d908fbaface9b4eb1329638a359a8dad51e689c9b
3,6,55776,6233,44719,4824,baf410a59490a26bbf5be267caaaa01c977e0d7d35172686b5b2539203f98449
4,1,70441,6357,56920,7164,731cd46b8ee67f3968699542cd2a9e192655b402baaf53ff0be3a49836ce5b6f
4,3,53641,4171,44443,5027,87b99b836f802273ae2e12080e8946c95c3bfd4f47f317ecc4a2d3ed61fedfb2
4,6,60653,4770,49650,6233,bd202e0f0cee17d7a45697d659df2a2192ffc767aa9dcad08be196707258e79d
5,1,76015,5526,64132,6357,63532d7ec12d5efc2df9f8620b3754469b10ff144ef6bbc8a43539647806bda1
5,3,57032,3286,49575,4171,8d15f6302ec3b9dcb497c0aa228723465a642523b40954155782783dc833f141
5,6,64573,3689,56114,4770,c87a83b35884d74cd24b8cccf76f8cfe78d860ac66b68091ef322f057e7cff0c
6,1,82698,6636,70536,5526,bae22c55d6283387d3be5b1b1b80d041e0234235139080e45af48ef699b9e695
6,3,62719,5566,53867,3286,06e279d06dd7ced7da1c3a2d7dc038055e0ab43865800ea3c22c79514e68976c
6,6,70965,6114,61162,3689,205a932c44b4abf3627cdbafc5a3251615e3c216542a01c5bc2832692c341bb2
