model,fold,horizon,n,MAE,MSE,sMAPE,mean_prediction,mean_truth,RMSE,bias
GRU,1,1,5978,1.3725250572135672,6.4770354669577825,1.841070810369164,89.22667328468783,88.89538028326085,2.5450020563759437,0.33129300142698526
GRU,1,3,2919,1.2450325183356075,4.098718418534839,1.652618852810624,89.26317211306639,88.90339157245631,2.0245291844117332,0.3597805406100747
GRU,1,6,3511,1.0931431282758373,2.643618578132975,1.4330964117614289,89.03098353472213,89.02248726225514,1.6259208400574041,0.008496272466985033
GRU,2,1,6540,1.0169811137954758,3.7676748906989816,1.4400596447150924,89.07661641885989,89.05603975535168,1.941049945441637,0.020576663508208526
GRU,2,3,3836,0.9160769557278868,2.361685087862108,1.2830381651022305,89.15619237347532,89.08439781021897,1.536777501091849,0.07179456325634703
GRU,2,6,4824,0.8353208645725198,1.9483706023116723,1.1911254445008055,89.01770048552682,88.95148677906764,1.3958404644914375,0.06621370645918034
GRU,3,1,7164,0.8542552850139786,2.928560754977695,1.2052873726117719,88.99767688539647,89.02206635026987,1.7113038172626436,-0.024389464873394218
GRU,3,3,5027,0.7593432825413665,1.6031126931641042,1.0475871356484423,88.90120411747591,88.97483036049776,1.266140866240445,-0.07362624302184884
GRU,3,6,6233,0.6554726034809619,1.0582675651294198,0.9023264598068953,88.93123851237344,89.0177678842006,1.0287213253011818,-0.08652937182715448
GRU,4,1,6357,1.2240659803656837,8.207761850843639,1.7444787840749911,88.65106039450794,88.59312568821771,2.8649191700366763,0.05793470629022579
GRU,4,3,4171,1.1714979444584555,5.047305636138136,1.6529491624036319,88.70725168572487,88.38855590186206,2.24662093734972,0.3186957838628075
GRU,4,6,4770,1.0757916691558906,3.6539194850844985,1.5502502701359158,88.52315453716628,88.15620545073375,1.911522818353079,0.3669490864325269
GRU,5,1,5526,1.4371574285421833,7.670121781538353,1.8778411738094385,89.16315208768252,89.02678248280854,2.769498471120422,0.13636960487397687
GRU,5,3,3286,1.2132657349199671,5.090110153824296,1.575535108375452,89.01371092592203,89.29975654290931,2.256127246815723,-0.2860456169872805
GRU,5,6,3689,1.1919159460473239,5.449783364051239,1.5610703940998365,88.97556164401047,89.18385666094395,2.334477107202219,-0.20829501693347652
GRU,6,1,6636,0.9984159270323542,4.691299929181413,1.3531219459889288,89.38332098201501,89.16141752059472,2.1659408877394166,0.2219034614202826
GRU,6,3,5566,0.9529983658949934,3.1708052484051747,1.2904372305303997,89.37913535412007,89.23540743402403,1.7806755033989699,0.1437279200960404
GRU,6,6,6114,0.8981024623938281,2.3987719140220953,1.2006027642358439,89.4357076230401,89.17997537527714,1.548796924719989,0.255732247762964
HA,1,1,5978,1.9403060420880658,14.787058458491416,2.9180552278984866,88.90892079156471,88.89538028326085,3.845394447711628,0.013540508303861998
HA,1,3,2919,1.8332044389367599,11.741531883079162,2.77363718571903,88.97993310325234,88.90339157245631,3.4265918757679854,0.0765415307960211
HA,1,6,3511,1.603905100774009,8.61067425572401,2.4150703801441997,89.09088964633403,89.02248726225514,2.934395040843003,0.06840238407889387
HA,2,1,6540,1.787443156927733,13.05067767663556,2.813420775474276,88.98094757908346,89.05603975535168,3.612572169055666,-0.07509217626821396
HA,2,3,3836,1.6735651443626416,10.973225489024117,2.6538384254721543,89.05377052175862,89.08439781021897,3.312585921757218,-0.030627288460351565
HA,2,6,4824,1.48659270442782,8.551572764111555,2.3519470933451854,88.95302827006351,88.95148677906764,2.924307228064718,0.0015414909958764156
