model,horizon,folds,MAE_mean,MAE_sd,RMSE_mean,sMAPE_mean,bias_mean
GRU,1,6,1.1505667986605406,0.23047660334393016,2.3329523913294565,1.576976621928231,0.12394799544104747
GRU,3,6,1.043035800313046,0.19544316803675552,1.8518118732180735,1.41702760914513,0.08905449130269005
GRU,6,6,0.9582911123210603,0.19850209807693622,1.6408799133542182,1.3064119574234543,0.06709448739350421
HA,1,6,1.8246889095175007,0.11920130680309092,3.7381503266820757,2.818222671981495,-0.03883921407469396
HA,3,6,1.7042788331260714,0.13629347106027637,3.2996154661725225,2.6444093321818563,0.0030554222128908273
HA,6,6,1.5048070906217237,0.11989004002698034,2.874283855962238,2.341244074397947,0.009397983537574817
Persistence,1,6,0.9504086959002903,0.15466312020619194,3.0073501513583207,1.4500030252629885,0.004493286260194888
Persistence,3,6,1.1701796128828124,0.13622932478847838,3.1426180421142766,1.8101479033082972,0.10635123497608845
Persistence,6,6,1.469736013293206,0.18237763667688459,3.6638225174081516,2.2960885075802673,0.1941312210836704
Ridge,1,6,1.2251369723800105,0.2667846204126473,2.454590584575628,1.6717221776353668,-0.14085273886252736
Ridge,3,6,1.1314905249352163,0.21279657201432597,2.0205828389174187,1.5508577341313294,-0.046383707846108756
Ridge,6,6,1.086178331932493,0.2773506433559092,1.8205959748506795,1.4764554147235547,-0.09069326815120131
SeasonalHA,1,6,0.9610159710771864,0.11544610373889747,2.3989828215448017,1.3791759580229639,-0.02623622918860491
SeasonalHA,3,6,0.8528572784872005,0.10545633462220476,1.7930385099098067,1.2090018778434712,-0.0024122442902410057
SeasonalHA,6,6,0.7737565223446644,0.10230360846734043,1.4670926975924727,1.0892620425026582,-0.004227525665880212
XGBoost,1,6,0.9493079795133882,0.25778038643574774,2.1376916990440775,1.304858377122069,-0.17520048125000423
XGBoost,3,6,0.8293500004841895,0.1684251656433177,1.787262716889576,1.1722303116899344,-0.005453438844639891
XGBoost,6,6,0.751542331769197,0.1420542695444436,1.3961400162889415,1.0463933747140501,-0.0273466776009433
