model,horizon,runs,seeds,MAE_mean,MAE_sd,MAE_min,MAE_max
GRU,1,18,3,1.1505667986605406,0.22229978717984858,0.8168253425599563,1.5647535647395607
GRU,3,18,3,1.0430358003130462,0.19687386109761773,0.7304826927889095,1.4142277102897027
GRU,6,18,3,0.9582911123210602,0.19809922371674601,0.6452325093541542,1.4001236143911004
HA,1,6,1,1.8246889095175005,0.11920130680309103,1.7010551875725506,1.9922900781715982
HA,3,6,1,1.7042788331260714,0.13629347106027645,1.5741618467851728,1.9114657610130061
HA,6,6,1,1.5048070906217237,0.11989004002698034,1.385073951577272,1.6925207427118363
Persistence,1,6,1,0.9504086959002905,0.154663120206192,0.7498373446842239,1.1417336561177576
Persistence,3,6,1,1.1701796128828124,0.1362293247884784,1.0053269670363953,1.3617372529375558
Persistence,6,6,1,1.469736013293206,0.18237763667688456,1.243396868710593,1.7891988110777302
Ridge,1,6,1,1.2251369723800105,0.2667846204126473,0.9117673435136634,1.656387887568824
Ridge,3,6,1,1.1314905249352163,0.2127965720143259,0.8528341232585468,1.4540703121398648
Ridge,6,6,1,1.086178331932493,0.2773506433559092,0.7597159093698401,1.5521867317247275
SeasonalHA,1,6,1,0.9610159710771864,0.1154461037388975,0.7827222348590726,1.0705610122969946
SeasonalHA,3,6,1,0.8528572784872005,0.10545633462220476,0.7108450454244131,0.9652978276249927
SeasonalHA,6,6,1,0.7737565223446645,0.10230360846734048,0.6133166742415782,0.9063768554516892
XGBoost,1,18,3,0.9493079795133882,0.24305418205581936,0.6311631917110395,1.4006335543470168
XGBoost,3,18,3,0.8293500004841895,0.15836899336417554,0.6029308987631342,1.0414583962277215
XGBoost,6,18,3,0.751542331769197,0.13349458709791162,0.5397531670937702,0.9276863880099712
