comparison,horizon,metric,paired_unit,n_days,n_block_days,bootstrap_replicates,mean_difference_a_minus_b,CI_low,CI_high
XGBoost_vs_GRU,1,MAE,day_then_spatial_block,41,205,10000,-0.21655335637400594,-0.28383621218559296,-0.14580352141895073
XGBoost_vs_Ridge,1,MAE,day_then_spatial_block,41,205,10000,-0.2625505062724203,-0.3520563263017451,-0.15147823973300825
XGBoost_vs_SeasonalHA,1,MAE,day_then_spatial_block,41,205,10000,0.06842448527514017,-0.1509711283155028,0.3762201205562139
Persistence_vs_HA,1,MAE,day_then_spatial_block,41,205,10000,-1.0931002937139125,-1.310570975446553,-0.8883078096882452
GRU_vs_Ridge,1,MAE,day_then_spatial_block,41,205,10000,-0.04599714989841437,-0.11863622096584565,0.04032559375783274
XGBoost_vs_GRU,3,MAE,day_then_spatial_block,41,205,10000,-0.2964466754812432,-0.5229053278023278,-0.1363100996226718
XGBoost_vs_Ridge,3,MAE,day_then_spatial_block,41,205,10000,-0.3912177152920465,-0.6283582414164096,-0.2078313542981629
XGBoost_vs_SeasonalHA,3,MAE,day_then_spatial_block,41,205,10000,0.02518503490768264,-0.11155643513479463,0.1890946825413066
Persistence_vs_HA,3,MAE,day_then_spatial_block,41,205,10000,-0.6298077785985181,-0.7691977002335662,-0.49521178808107186
GRU_vs_Ridge,3,MAE,day_then_spatial_block,41,205,10000,-0.09477103981080334,-0.1859482388020815,-0.008004549946893662
XGBoost_vs_GRU,6,MAE,day_then_spatial_block,41,205,10000,-0.38635719363339094,-0.7837858799880417,-0.14407902722586058
XGBoost_vs_Ridge,6,MAE,day_then_spatial_block,41,205,10000,-0.4537170387183774,-0.7544852846593367,-0.22417160758806162
XGBoost_vs_SeasonalHA,6,MAE,day_then_spatial_block,41,205,10000,0.022589673980955585,-0.09449027265329689,0.21099779432955534
Persistence_vs_HA,6,MAE,day_then_spatial_block,41,205,10000,-0.03456550651053818,-0.20435076980063063,0.10781274004116219
GRU_vs_Ridge,6,MAE,day_then_spatial_block,41,205,10000,-0.06735984508498644,-0.21513217486011005,0.12181481218926395
