model,fold,horizon,forecast_origin,n,MAE,RMSE,sMAPE
GRU,1,1,2026-01-19 00:00:00,31,1.0980697549799439,1.4517538450282175,1.2793125869606563
GRU,1,1,2026-01-19 01:00:00,35,1.4272573561895463,1.7044437603859273,1.7097297103595723
GRU,1,1,2026-01-19 02:00:00,34,1.3972853866277957,1.6401278974456994,1.626224285739318
GRU,1,1,2026-01-19 03:00:00,34,1.0996240728041704,1.3386152454135973,1.2499948485861818
GRU,1,1,2026-01-19 04:00:00,34,1.3827124950932521,1.764401681198042,1.7351641004680163
GRU,1,1,2026-01-19 05:00:00,36,3.0583982467651367,5.03465811409779,4.37147488494786
GRU,1,1,2026-01-19 06:00:00,34,1.9139189626656328,3.669447552097685,3.131087185224034
GRU,1,1,2026-01-19 07:00:00,34,0.8730484083587049,1.4375290807025756,1.108534363339489
GRU,1,1,2026-01-19 08:00:00,34,1.4906590405632467,2.562250493497135,1.9214223471795013
GRU,1,1,2026-01-19 09:00:00,35,1.033022962297712,1.5409977713358676,1.5622771995880533
GRU,1,1,2026-01-19 10:00:00,33,1.0531947974002722,1.4374635255975163,1.405526797328123
GRU,1,1,2026-01-19 11:00:00,33,1.266336845629143,1.6646255950193782,1.5997660764816688
GRU,1,1,2026-01-19 12:00:00,34,1.064106174543792,1.503758679936438,1.5306412389323507
GRU,1,1,2026-01-19 13:00:00,36,1.0156048315542714,1.2989519318569411,1.1943909677454336
GRU,1,1,2026-01-19 14:00:00,34,1.0023742750579234,1.2990103638177395,1.4883090574862647
GRU,1,1,2026-01-19 15:00:00,34,1.1355537339752797,1.4996451114654603,1.7874992813002453
GRU,1,1,2026-01-19 16:00:00,34,1.6499378353941676,2.730126207846032,3.424661223024437
GRU,1,1,2026-01-19 17:00:00,34,1.8921379388547412,2.8188514702824348,2.92810602440671
GRU,1,1,2026-01-19 18:00:00,29,3.3828204801712913,5.738328552975057,4.115450383280999
GRU,1,1,2026-01-19 19:00:00,47,1.8893548410834993,2.859926436684065,2.5110762835707616
GRU,1,1,2026-01-19 20:00:00,35,1.5225629170735677,2.5670959056296447,1.9802992216166888
GRU,1,1,2026-01-19 21:00:00,35,2.237327176048642,3.1468561872796874,2.626325298109917
GRU,1,1,2026-01-19 22:00:00,33,1.413589516071358,1.7062914349262985,1.5441486984512975
GRU,1,1,2026-01-19 23:00:00,35,1.8453320821126304,2.3644924858682845,2.284974901181162
GRU,1,1,2026-01-20 00:00:00,33,1.3174306696111506,1.5252237968472722,1.5336000283657532
GRU,1,1,2026-01-20 01:00:00,34,1.1618343802059399,1.3941543044147386,1.3236683999444963
GRU,1,1,2026-01-20 02:00:00,35,1.1212513878231958,1.3474941904304472,1.3494219821498543
GRU,1,1,2026-01-20 03:00:00,34,0.9851524502623316,1.2758517039903916,1.1404622542763472
GRU,1,1,2026-01-20 04:00:00,34,0.9291116303088618,1.3096046972909594,1.2256693148949966
GRU,1,1,2026-01-20 05:00:00,35,2.527077883765811,4.810406321735969,4.682224538124025
GRU,1,1,2026-01-20 06:00:00,35,1.1489105951218377,1.9949626812017658,1.7401524363125438
GRU,1,1,2026-01-20 07:00:00,34,1.3019459294337852,2.2963269895203844,1.8452297257841823
GRU,1,1,2026-01-20 08:00:00,34,1.6979618072509766,2.8291554151274454,3.068171603170675
GRU,1,1,2026-01-20 09:00:00,35,1.4039630344935825,2.3151598800392397,2.4580759279925766
GRU,1,1,2026-01-20 10:00:00,34,0.924746083278282,1.5204310853581489,1.1311583159737946
GRU,1,1,2026-01-20 11:00:00,35,0.9167463030133929,1.6089434630679478,1.3989402298993054
GRU,1,1,2026-01-20 12:00:00,35,1.2106701442173549,2.609683519675216,1.5955594473441759
GRU,1,1,2026-01-20 13:00:00,35,0.7668524605887277,1.0455567508751027,1.058220808276244
