model,fold,horizon,calendar_day,spatial_block,n,MAE,RMSE,sMAPE
GRU,1,1,2026-01-19,1,172,1.482203439224598,2.1820905019333305,1.7208057566411235
GRU,1,1,2026-01-19,2,181,1.0945410403537927,2.0152569188459144,1.1329425891557452
GRU,1,1,2026-01-19,3,169,0.8992532733864568,1.454237469429655,0.9052148586668192
GRU,1,1,2026-01-19,4,182,1.7568173251309238,2.788844891692941,2.1813745643064384
GRU,1,1,2026-01-19,5,123,2.885951520304693,4.0406222900779865,5.5113781682575915
GRU,1,1,2026-01-20,1,174,0.9441056087099272,1.2043009668978408,1.2176368303141043
GRU,1,1,2026-01-20,2,171,0.9387083741424145,1.6082065659077305,0.9716539673800968
GRU,1,1,2026-01-20,3,184,0.700197772703309,1.223810852225241,0.7076193968188242
GRU,1,1,2026-01-20,4,173,1.3048801091365043,2.1072305959662754,1.6505954202481699
GRU,1,1,2026-01-20,5,119,2.8501604331307715,3.999698852670288,5.606791896859323
GRU,1,1,2026-01-21,1,193,0.866930676659566,1.2556445963961256,1.0890685038028824
GRU,1,1,2026-01-21,2,186,0.703293708062941,1.0771786396653595,0.7280694603141034
GRU,1,1,2026-01-21,3,188,0.6973246175346645,1.301005803935898,0.7093606993648081
GRU,1,1,2026-01-21,4,184,1.060553186757553,1.975175428118477,1.321670795344805
GRU,1,1,2026-01-21,5,102,2.365482953638812,3.2963835552911798,4.309449521197679
GRU,1,1,2026-01-22,1,177,0.7367420160613267,1.0920901202632285,0.9202533126465756
GRU,1,1,2026-01-22,2,186,0.6968923589234711,1.3727844733760268,0.723223919814097
GRU,1,1,2026-01-22,3,173,0.5057894021330083,0.6226752480922447,0.5089128985388957
GRU,1,1,2026-01-22,4,178,1.202514827028196,1.977803543292149,1.5422705856246397
GRU,1,1,2026-01-22,5,116,2.603693666129277,3.6790560116183966,4.765232251011608
GRU,1,1,2026-01-23,1,197,0.6402601445386857,0.8738100256469137,0.8245733109312776
GRU,1,1,2026-01-23,2,195,0.47112708458533653,0.5969746472229076,0.4845482343215602
GRU,1,1,2026-01-23,3,207,0.4311564594459226,0.5408786543527181,0.43398116841125955
GRU,1,1,2026-01-23,4,207,1.0507852674106468,1.858447397539317,1.3368014270735447
GRU,1,1,2026-01-23,5,126,2.3586548497437168,3.1613746831575518,4.413926445938959
GRU,1,1,2026-01-24,1,205,1.5425951267645612,2.870581739190585,1.9417005067820514
GRU,1,1,2026-01-24,2,208,1.4426178687658067,3.318922187827214,1.569666561965897
GRU,1,1,2026-01-24,3,191,1.8132513022963703,3.9215286547038617,1.9365028179990078
GRU,1,1,2026-01-24,4,200,2.2767628457811147,4.27845214005446,2.807259606975562
GRU,1,1,2026-01-24,5,134,2.7022197875217415,3.8258163240974206,4.996350672094391
GRU,1,1,2026-01-25,1,180,0.8795279962045175,1.183558227270221,1.1335350053942752
GRU,1,1,2026-01-25,2,152,2.605650885063305,4.378642097517086,2.7720046484699536
GRU,1,1,2026-01-25,3,179,2.897428928140821,4.694200056158775,3.0542786655419563
GRU,1,1,2026-01-25,4,165,1.6124731506964174,2.7624333555720444,2.0531996020972985
GRU,1,1,2026-01-25,5,101,2.339800793739042,3.17512141220667,4.2144644435193275
GRU,1,3,2026-01-19,1,66,1.4822674182930378,2.1396260779507776,1.713939740130255
GRU,1,3,2026-01-19,2,85,0.9143730013978248,1.3218593351084003,0.9403437919888384
GRU,1,3,2026-01-19,3,68,0.7906730876249427,1.0591083370049628,0.7938684734349448
GRU,1,3,2026-01-19,4,89,1.5731520555538285,2.5019565257410914,1.9469461278755258
GRU,1,3,2026-01-19,5,62,2.3417772409309197,3.1459950218131363,4.674653159966662
GRU,1,3,2026-01-20,1,68,0.9725743088067746,1.2013868656216913,1.2078334580499006
GRU,1,3,2026-01-20,2,73,1.006307906756118,1.5378941397331194,1.0354388241900272
GRU,1,3,2026-01-20,3,88,0.6892700773296933,0.9155653330836351,0.6961095736874857
GRU,1,3,2026-01-20,4,77,1.190491862111277,1.7448371853645912,1.5188571706074647
GRU,1,3,2026-01-20,5,60,2.3437348683675125,3.029827885182862,4.6985454843897285
GRU,1,3,2026-01-21,1,111,0.971358829074436,1.1953529515320156,1.243280459119805
GRU,1,3,2026-01-21,2,91,0.7435101146954177,0.9604282731486138,0.7722692129889699
GRU,1,3,2026-01-21,3,93,0.5279896537510342,0.7199755180314351,0.532835555866007
GRU,1,3,2026-01-21,4,91,1.1735975756895558,1.9934347297241972,1.425899046628208
GRU,1,3,2026-01-21,5,37,1.7850473001077247,2.506780814694119,2.9917609279708968
GRU,1,3,2026-01-22,1,71,0.8468852871460536,1.1055004857745645,1.0127503897294075
GRU,1,3,2026-01-22,2,86,0.5881536616835484,0.8840569335001247,0.6076669048995603
GRU,1,3,2026-01-22,3,68,0.5112294963761872,0.6817181870150074,0.5149560028693136
GRU,1,3,2026-01-22,4,81,1.5026129682041167,2.1600585480830907,1.9632243111943704
GRU,1,3,2026-01-22,5,58,2.129725642587947,2.860634058885293,3.6947839296933696
GRU,1,3,2026-01-23,1,104,0.5962435771257449,0.7675428078589858,0.7255916289201532
GRU,1,3,2026-01-23,2,101,0.5142631908454517,0.6565076414803369,0.5276109954228967
GRU,1,3,2026-01-23,3,123,0.5312030037567221,0.6579767677798575,0.5347858589157268
GRU,1,3,2026-01-23,4,129,1.1997213360909376,1.847231245368409,1.5091361432283563
GRU,1,3,2026-01-23,5,70,1.9556428091866633,2.6583203128693222,3.5364925966243397
GRU,1,3,2026-01-24,1,129,1.2269471108554046,2.074331380998618,1.4797059519712759
GRU,1,3,2026-01-24,2,130,1.088983036921575,1.9826856646674267,1.1423593656337565
GRU,1,3,2026-01-24,3,102,1.4762172491202428,2.51251934085005,1.5313300137726131
GRU,1,3,2026-01-24,4,117,2.1371762842345596,3.729824247342737,2.5468861793399133
GRU,1,3,2026-01-24,5,84,2.2417625548347595,2.89906464025169,4.271878435355666
GRU,1,3,2026-01-25,1,77,0.8504552799901922,1.1571901444982555,1.0929796119987267
GRU,1,3,2026-01-25,2,52,2.199104716635158,3.108808415989402,2.296653720496172
GRU,1,3,2026-01-25,3,78,2.2988370259602866,3.17381326428743,2.3816884630304815
GRU,1,3,2026-01-25,4,66,1.4943299405903931,2.3923187637810543,1.925520307672491
GRU,1,3,2026-01-25,5,34,2.398696188833199,3.0098277118420445,4.6945717095076205
GRU,1,6,2026-01-19,1,80,0.9566322369045677,1.3980127668781201,1.1195467481863044
GRU,1,6,2026-01-19,2,94,0.6872713454226229,0.9379274190725497,0.7042938120386093
GRU,1,6,2026-01-19,3,71,0.7037897244305675,0.9121981494535542,0.7058880629757593
GRU,1,6,2026-01-19,4,107,1.378057130078784,2.0819275948697338,1.7343684592885842
GRU,1,6,2026-01-19,5,74,2.081835509062529,2.870311653872626,4.166746055094237
GRU,1,6,2026-01-20,1,90,0.5374199196144386,0.6754910651397743,0.6333612186657565
GRU,1,6,2026-01-20,2,94,0.8012825120425396,1.0937118737508753,0.8220179068388813
GRU,1,6,2026-01-20,3,106,0.7186361828690058,0.9053802620071798,0.7262426862869471
GRU,1,6,2026-01-20,4,92,1.2577217765476394,1.8157180862273679,1.6609303454427755
GRU,1,6,2026-01-20,5,68,2.0154207267013255,2.454642832556942,3.7184324722013633
GRU,1,6,2026-01-21,1,142,0.8284370308937231,1.02662043852048,1.0673511550849655
GRU,1,6,2026-01-21,2,113,0.6257314856425151,0.8032365515341411,0.6510015438547953
GRU,1,6,2026-01-21,3,109,0.5746164039977344,0.7066728056692935,0.5809079752061053
GRU,1,6,2026-01-21,4,107,1.2381392331385785,1.722739902426909,1.4568708916643462
GRU,1,6,2026-01-21,5,35,1.5021170043945309,1.9758970440147825,2.461681832481879
GRU,1,6,2026-01-22,1,99,0.6820904193368689,0.8655044645221466,0.7742869083119311
GRU,1,6,2026-01-22,2,126,0.7063971221762361,0.9269714625291329,0.7300908862778851
GRU,1,6,2026-01-22,3,87,0.6901695865324173,0.8297555739572748,0.6951923156496509
GRU,1,6,2026-01-22,4,101,1.3214949545949464,1.6866435159767799,1.6674246462790396
GRU,1,6,2026-01-22,5,80,1.830052677790324,2.3248919345544476,3.1061909676690247
GRU,1,6,2026-01-23,1,133,0.6187629412887687,0.7778556376502217,0.7348145576457515
GRU,1,6,2026-01-23,2,134,0.5537045417140372,0.6841105591415945,0.5685423033707951
GRU,1,6,2026-01-23,3,144,0.684155022656476,0.811415486233182,0.688603322635129
GRU,1,6,2026-01-23,4,152,1.1169080472131916,1.4113958686565862,1.3410532270594373
GRU,1,6,2026-01-23,5,90,1.6803295009911305,2.099522306715547,2.900341741905796
GRU,1,6,2026-01-24,1,161,1.0030117564073011,1.4368969534940157,1.2066822024100499
GRU,1,6,2026-01-24,2,157,0.7566665886988981,1.2506825745107994,0.7917919646804561
GRU,1,6,2026-01-24,3,115,1.1195807931503805,1.5895451589221512,1.1495242479817935
GRU,1,6,2026-01-24,4,139,1.5783106831592022,2.600063181826034,1.807630543872678
GRU,1,6,2026-01-24,5,97,2.21279803462136,2.6889478896323586,4.284354724084309
GRU,1,6,2026-01-25,1,84,1.0036856333414714,1.3015689964735182,1.2380026283111218
GRU,1,6,2026-01-25,2,43,2.004958668790123,2.5844845158445158,2.0812696154058234
GRU,1,6,2026-01-25,3,82,1.7494802728254943,2.2690736198023544,1.7904225499780064
