model,horizon,folds,MAE_mean,MAE_sd,RMSE_mean,sMAPE_mean,bias_mean
HA,1,6,1.8246889095175007,0.1192013068030909,3.738150326682076,2.818222671981495,-0.0388392140746939
SeasonalHA,1,6,0.9610159710771864,0.1154461037388974,2.3989828215448017,1.379175958022964,-0.0262362291886049
Persistence,1,6,0.9504086959002904,0.1546631202061919,3.0073501513583207,1.4500030252629883,0.0044932862601948
Ridge,1,6,1.2251369723800103,0.2667846204126473,2.454590584575628,1.6717221776353668,-0.1408527388625273
XGBoost,1,6,0.9493079795133882,0.2577803864357477,2.137691699044077,1.304858377122069,-0.1752004812500042
GRU,1,6,1.1505667986605406,0.2304766033439301,2.3329523913294565,1.576976621928231,0.1239479954410474
HA,3,6,1.7042788331260714,0.1362934710602763,3.2996154661725225,2.6444093321818563,0.0030554222128908
SeasonalHA,3,6,0.8528572784872005,0.1054563346222047,1.7930385099098067,1.2090018778434712,-0.002412244290241
Persistence,3,6,1.1701796128828124,0.1362293247884783,3.1426180421142766,1.8101479033082968,0.1063512349760884
Ridge,3,6,1.1314905249352163,0.2127965720143259,2.0205828389174187,1.5508577341313294,-0.0463837078461087
XGBoost,3,6,0.8293500004841895,0.1684251656433177,1.787262716889576,1.1722303116899344,-0.0054534388446398
GRU,3,6,1.043035800313046,0.1954431680367555,1.8518118732180733,1.41702760914513,0.08905449130269
HA,6,6,1.5048070906217237,0.1198900400269803,2.874283855962238,2.341244074397947,0.0093979835375748
SeasonalHA,6,6,0.7737565223446644,0.1023036084673404,1.4670926975924727,1.0892620425026582,-0.0042275256658802
Persistence,6,6,1.469736013293206,0.1823776366768845,3.663822517408152,2.2960885075802677,0.1941312210836704
Ridge,6,6,1.086178331932493,0.2773506433559092,1.8205959748506797,1.476455414723555,-0.0906932681512013
XGBoost,6,6,0.751542331769197,0.1420542695444436,1.3961400162889417,1.04639337471405,-0.0273466776009433
GRU,6,6,0.9582911123210603,0.1985020980769362,1.6408799133542182,1.3064119574234545,0.0670944873935042
