prediction_file,model,horizon,seed,original_N,boundary_excluded_N,canonical_complete_hour_N,original_MAE,canonical_complete_hour_MAE,MAE_change_after_boundary_exclusion,original_RMSE,canonical_complete_hour_RMSE,original_sMAPE,canonical_complete_hour_sMAPE,original_R2,canonical_complete_hour_R2,original_Bias,canonical_complete_hour_Bias,canonical_sample_boundary_match
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed2024.parquet,GRU,1,2024,12265,0,12265,1.0536621614713548,1.0536621614713548,0.0,2.440587619557492,2.440587619557492,0.013951320676510642,0.013951320676510642,0.9767685624904269,0.9767685624904269,0.17863901358354448,0.17863901358354448,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed2025.parquet,GRU,1,2025,12265,0,12265,1.0672940662817911,1.0672940662817911,0.0,2.440868021947784,2.440868021947784,0.014227779747922638,0.014227779747922638,0.9767632240016423,0.9767632240016423,0.08398391701861202,0.08398391701861202,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed2026.parquet,GRU,1,2026,12265,0,12265,0.9841886541379795,0.9841886541379795,0.0,2.382109834878539,2.382109834878539,0.013140749278265433,0.013140749278265433,0.9778685004896793,0.9778685004896793,0.12961860949099915,0.12961860949099915,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed3407.parquet,GRU,1,3407,12265,0,12265,1.0555837347417085,1.0555837347417085,0.0,2.4326667463923966,2.4326667463923966,0.014026523929127168,0.014026523929127168,0.9769191120244687,0.9769191120244687,0.20014004417696243,0.20014004417696243,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h1_seed42.parquet,GRU,1,42,12265,0,12265,1.0824979600933586,1.0824979600933586,0.0,2.4775653740748944,2.4775653740748944,0.014559143578232875,0.014559143578232875,0.97605926267693,0.97605926267693,0.2066697185592558,0.2066697185592558,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed2024.parquet,GRU,3,2024,11878,0,11878,1.0074605787617326,1.0074605787617326,0.0,1.7862341298931863,1.7862341298931863,0.013185662949472507,0.013185662949472507,0.987327955908643,0.987327955908643,-0.10144408653633104,-0.10144408653633104,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed2025.parquet,GRU,3,2025,11878,0,11878,1.0060004685378312,1.0060004685378312,0.0,1.824149725606107,1.824149725606107,0.013131285067983924,0.013131285067983924,0.9867842786452802,0.9867842786452802,-0.05998500795712835,-0.05998500795712835,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed2026.parquet,GRU,3,2026,11878,0,11878,1.0681743873934049,1.0681743873934049,0.0,1.9146789766254164,1.9146789766254164,0.014044548007093554,0.014044548007093554,0.985439984199781,0.985439984199781,0.2072988734299094,0.2072988734299094,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed3407.parquet,GRU,3,3407,11878,0,11878,1.0338017365249605,1.0338017365249605,0.0,1.8037753935965037,1.8037753935965037,0.01337183102898989,0.01337183102898989,0.9870778485976316,0.9870778485976316,-0.10952102585982185,-0.10952102585982185,True
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h3_seed42.parquet,GRU,3,42,11878,0,11878,1.0531255454201351,1.0531255454201351,0.0,1.9105882193141714,1.9105882193141714,0.013761832906100871,0.013761832906100871,0.9855021333793976,0.9855021333793976,-0.09521949425713545,-0.09521949425713545,True
