sample_id,node_id,target_start,horizon,observed_hours,stored_y_true,recomputed_window_mean,absolute_difference,match_tolerance_1e-5
6864,N001,2026-02-21 01:00:00,1,1,90.0,90.0,0.0,True
7300,N001,2026-02-25 14:00:00,1,1,90.0,90.0,0.0,True
112676,N002,2026-02-22 08:00:00,1,1,94.0,94.0,0.0,True
324680,N004,2026-02-28 21:00:00,1,1,90.0,90.0,0.0,True
429448,N005,2026-02-19 07:00:00,1,1,43.0,43.0,0.0,True
430052,N005,2026-02-25 14:00:00,1,1,43.0,43.0,0.0,True
430376,N005,2026-02-28 23:00:00,1,1,43.0,43.0,0.0,True
535488,N006,2026-02-22 23:00:00,1,1,90.0,90.0,0.0,True
640792,N007,2026-02-18 23:00:00,1,1,90.0,90.0,0.0,True
746892,N008,2026-02-23 06:00:00,1,1,90.0,90.0,0.0,True
747360,N008,2026-02-28 03:00:00,1,1,90.0,90.0,0.0,True
747432,N008,2026-02-28 21:00:00,1,1,90.0,90.0,0.0,True
852544,N009,2026-02-22 21:00:00,1,1,90.0,90.0,0.0,True
853120,N009,2026-02-28 21:00:00,1,1,90.0,90.0,0.0,True
957900,N010,2026-02-19 10:00:00,1,1,94.0,94.0,0.0,True
958464,N010,2026-02-25 07:00:00,1,1,94.0,94.0,0.0,True
958748,N010,2026-02-28 06:00:00,1,1,94.0,94.0,0.0,True
1064024,N011,2026-02-23 23:00:00,1,1,94.0,94.0,0.0,True
1064152,N011,2026-02-25 07:00:00,1,1,94.0,94.0,0.0,True
1169700,N012,2026-02-23 20:00:00,1,1,94.0,94.0,0.0,True
1169824,N012,2026-02-25 03:00:00,1,1,94.0,94.0,0.0,True
1380904,N014,2026-02-22 01:00:00,1,1,94.0,94.0,0.0,True
1381316,N014,2026-02-26 08:00:00,1,1,94.0,94.0,0.0,True
1486384,N015,2026-02-19 21:00:00,1,1,94.0,94.0,0.0,True
1486600,N015,2026-02-22 03:00:00,1,1,94.0,94.0,0.0,True
1592092,N016,2026-02-20 02:00:00,1,1,99.0,99.0,0.0,True
1592224,N016,2026-02-21 11:00:00,1,1,99.0,99.0,0.0,True
1592932,N016,2026-02-28 20:00:00,1,1,93.5,93.5,0.0,True
1697928,N017,2026-02-21 15:00:00,1,1,99.0,99.0,0.0,True
1698264,N017,2026-02-25 03:00:00,1,1,99.0,99.0,0.0,True
1803548,N018,2026-02-20 22:00:00,1,1,98.0,98.0,0.0,True
1803912,N018,2026-02-24 17:00:00,1,1,98.0,98.0,0.0,True
1804308,N018,2026-02-28 20:00:00,1,1,92.75,92.75,0.0,True
1909528,N019,2026-02-23 23:00:00,1,1,91.66666412353516,91.66666666666669,2.543131529364473e-06,True
1909584,N019,2026-02-24 13:00:00,1,1,98.0,98.0,0.0,True
1909780,N019,2026-02-26 14:00:00,1,1,98.0,98.0,0.0,True
2121176,N021,2026-02-26 19:00:00,1,1,100.0,100.0,0.0,True
2121352,N021,2026-02-28 15:00:00,1,1,100.0,100.0,0.0,True
2226432,N022,2026-02-22 07:00:00,1,1,98.0,98.0,0.0,True
2226872,N022,2026-02-26 21:00:00,1,1,98.0,98.0,0.0,True
2226948,N022,2026-02-27 16:00:00,1,1,98.0,98.0,0.0,True
2331804,N023,2026-02-19 00:00:00,1,1,100.0,100.0,0.0,True
2331896,N023,2026-02-19 23:00:00,1,1,100.0,100.0,0.0,True
2332492,N023,2026-02-26 04:00:00,1,1,94.0,94.0,0.0,True
2332496,N023,2026-02-26 05:00:00,1,1,100.0,100.0,0.0,True
2437784,N024,2026-02-22 01:00:00,1,1,100.0,100.0,0.0,True
2438008,N024,2026-02-24 09:00:00,1,1,100.0,100.0,0.0,True
2438088,N024,2026-02-25 05:00:00,1,1,100.0,100.0,0.0,True
2438096,N024,2026-02-25 07:00:00,1,1,100.0,100.0,0.0,True
2543240,N025,2026-02-19 15:00:00,1,1,98.0,98.0,0.0,True
2543404,N025,2026-02-21 08:00:00,1,1,98.0,98.0,0.0,True
2648968,N026,2026-02-20 01:00:00,1,1,100.0,100.0,0.0,True
2754644,N027,2026-02-19 22:00:00,1,1,100.0,100.0,0.0,True
2755200,N027,2026-02-25 17:00:00,1,1,100.0,100.0,0.0,True
2755396,N027,2026-02-27 18:00:00,1,1,100.0,100.0,0.0,True
2860720,N028,2026-02-23 23:00:00,1,1,100.0,100.0,0.0,True
2861160,N028,2026-02-28 13:00:00,1,1,100.0,100.0,0.0,True
