horizon,reference_model,compared_model,paired_unit,n_independent_units,mean_difference_compared_minus_TCN,median_difference_compared_minus_TCN,bootstrap_CI_low,bootstrap_CI_high,raw_p,direction,interpretation_scope,holm_adjusted_p,significant_0_05
1,TCN,HA,calendar_day_after_seed_averaging,11,0.7095256664536216,0.7539287805557251,0.5464857104149732,0.8299072569066828,0.0009765625,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.005859375,True
1,TCN,SeasonalHA,calendar_day_after_seed_averaging,11,0.02593162926760587,-0.013843774795532227,-0.09172284183177082,0.13902279111472038,0.6376953125,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.8349609375,False
1,TCN,Persistence,calendar_day_after_seed_averaging,11,-0.024261203679171475,-0.09873157739639282,-0.16135375581004402,0.16224359748038325,0.365234375,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.8349609375,False
1,TCN,XGBoost,calendar_day_after_seed_averaging,11,-0.13909203085032376,-0.19028741121292114,-0.2522454041648995,-2.1660531109128796e-05,0.123046875,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.4921875,False
1,TCN,GRU,calendar_day_after_seed_averaging,11,-0.05698338963768699,-0.13315188884735107,-0.13348648033358834,0.04936368519609621,0.2783203125,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.8349609375,False
1,TCN,ST-Transformer-lite,calendar_day_after_seed_averaging,11,-0.022611173716458408,-0.07493656873703003,-0.10488354821096767,0.11174831227822733,0.0673828125,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.3369140625,False
3,TCN,HA,calendar_day_after_seed_averaging,11,0.6991047805005853,0.7330600023269653,0.5259050386873159,0.8455058334903282,0.0009765625,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.005859375,True
3,TCN,SeasonalHA,calendar_day_after_seed_averaging,11,-0.0075151757760481405,-0.01758432388305664,-0.09495110376314683,0.08782349865544883,0.8310546875,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,1.0,False
3,TCN,Persistence,calendar_day_after_seed_averaging,11,0.41911542957479303,0.31158876419067383,0.17205475555224853,0.7501413123174143,0.0048828125,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.0244140625,True
3,TCN,XGBoost,calendar_day_after_seed_averaging,11,-0.19803005727854642,-0.18032169342041016,-0.3484486972066489,-0.0903595874255355,0.0048828125,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.0244140625,True
3,TCN,GRU,calendar_day_after_seed_averaging,11,0.08185030655427412,-0.037976980209350586,-0.04275985373692079,0.2557930441065268,0.365234375,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,1.0,False
3,TCN,ST-Transformer-lite,calendar_day_after_seed_averaging,11,0.011227071285247803,-0.01895928382873535,-0.05513540045781569,0.10652030679312618,0.46484375,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,1.0,False
6,TCN,HA,calendar_day_after_seed_averaging,11,0.6076769016005776,0.551990270614624,0.4898263690146533,0.7279196362603794,0.0009765625,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.005859375,True
6,TCN,SeasonalHA,calendar_day_after_seed_averaging,11,-0.03826016187667847,-0.07605969905853271,-0.13069692328572272,0.059025664288889196,0.5771484375,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,1.0,False
6,TCN,Persistence,calendar_day_after_seed_averaging,11,0.8034758296879855,0.652553915977478,0.49210625737905506,1.2331535495140336,0.0009765625,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.005859375,True
6,TCN,XGBoost,calendar_day_after_seed_averaging,11,-0.18540135838768698,-0.16294389963150024,-0.2919313754547726,-0.0922083285721866,0.0048828125,compared_model_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,0.01953125,True
6,TCN,GRU,calendar_day_after_seed_averaging,11,0.11347911032763394,-0.012102246284484863,-0.04914058379151604,0.3720921710133547,0.46484375,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,1.0,False
6,TCN,ST-Transformer-lite,calendar_day_after_seed_averaging,11,0.0238199613311074,-0.0052814483642578125,-0.09086205999959598,0.185483174838803,0.46484375,TCN_lower_MAE,DEPENDENCE_DIAGNOSTIC_ONLY_NOT_PHASE2A_CONFIRMATORY,1.0,False
