source_path,source_sha256,copied,destination_path,destination_sha256,reuse_status,classification_note
D:\2026_AJSE_FINAL\00_MANIFESTS\REORGANIZATION_VERIFICATION.json,ac99add2b5ac3801a55280c42e88291afea35d75e5abfd157c3eac07a57159a6,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\REORGANIZATION_VERIFICATION.json,ac99add2b5ac3801a55280c42e88291afea35d75e5abfd157c3eac07a57159a6,REVIEW,no canonical mapping established
D:\2026_AJSE_FINAL\01_PHASE2A_DEFINITION_FREEZE\AJSE_Phase2A0_Definition_Freeze\11_reports\PHASE2A0_EXECUTIVE_SUMMARY.md,6712a3ed6a711ac43759284df554bb91871fea26519a190227498cbd8de13901,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\Phase2A_definition\PHASE2A0_EXECUTIVE_SUMMARY.md,6712a3ed6a711ac43759284df554bb91871fea26519a190227498cbd8de13901,DEFINITION_EVIDENCE,future-window mean; H1/H3/H6; rolling-origin planned
D:\2026_AJSE_FINAL\01_PHASE2A_DEFINITION_FREEZE\AJSE_Phase2A0_Definition_Freeze\02_time_grid_definition\DENOMINATOR_COMPARISON.csv,283d736354cc3848a660e1373c7d1e478988f0f59602c2e99d603d34de39bef5,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\Phase2A_definition\DENOMINATOR_COMPARISON.csv,283d736354cc3848a660e1373c7d1e478988f0f59602c2e99d603d34de39bef5,DEFINITION_EVIDENCE,future-window mean; H1/H3/H6; rolling-origin planned
D:\2026_AJSE_FINAL\01_PHASE2A_DEFINITION_FREEZE\AJSE_Phase2A0_Definition_Freeze\05_target_definition\TARGET_POLICY.yaml,adb6acd205bbfbd56c71beb5edc8137f4e267af5112946165dabd79445baff21,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\Phase2A_definition\TARGET_POLICY.yaml,adb6acd205bbfbd56c71beb5edc8137f4e267af5112946165dabd79445baff21,DEFINITION_EVIDENCE,future-window mean; H1/H3/H6; rolling-origin planned
D:\2026_AJSE_FINAL\01_PHASE2A_DEFINITION_FREEZE\AJSE_Phase2A0_Definition_Freeze\04_split_definition\SPLIT_POLICY.yaml,137736b47b6959f4392fa8cdb6e66f19652164b3de4fa41c868ec951339c4afb,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\Phase2A_definition\SPLIT_POLICY.yaml,137736b47b6959f4392fa8cdb6e66f19652164b3de4fa41c868ec951339c4afb,DEFINITION_EVIDENCE,future-window mean; H1/H3/H6; rolling-origin planned
D:\2026_PD\configs\phase13_strong_baselines.yaml,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase13_strong_baselines.yaml,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\configs\phase14_final_statistical_tests.yaml,4af7210ddcdd29f3329e5b32184c095ad3281f78d4cf576a8958a222d7cd01fa,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase14_final_statistical_tests.yaml,4af7210ddcdd29f3329e5b32184c095ad3281f78d4cf576a8958a222d7cd01fa,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\configs\phase16_robustness.yaml,eaa3fcbaef80daa36cb2782192557681656c80fdc907db20cc85c55f3126e5d6,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase16_robustness.yaml,eaa3fcbaef80daa36cb2782192557681656c80fdc907db20cc85c55f3126e5d6,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\configs\phase17_stratified_evaluation.yaml,a61026ab66e882aa31d5895db347e8aeaeed7bbba2df3d61d05dfd4ed1575f20,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase17_stratified_evaluation.yaml,a61026ab66e882aa31d5895db347e8aeaeed7bbba2df3d61d05dfd4ed1575f20,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\reports\phase1_data_audit_report.md,6acef29861385a964c776a076ae08e229fe66294b15f7e3cdd0a914584da327c,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase1_data_audit_report.md,6acef29861385a964c776a076ae08e229fe66294b15f7e3cdd0a914584da327c,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\reports\phase2_window_construction_report.md,a7688dcc68b97d1db82ecafa9d5e63284a9285aa3d4d5c0b44a9106dc664bc49,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase2_window_construction_report.md,a7688dcc68b97d1db82ecafa9d5e63284a9285aa3d4d5c0b44a9106dc664bc49,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\reports\phase13A_full_validation_report.md,a646b3b1a02bda64554c0aa10e8bd40ee6c8c1c0eb8f9d0d928344aacd58dada,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase13A_full_validation_report.md,a646b3b1a02bda64554c0aa10e8bd40ee6c8c1c0eb8f9d0d928344aacd58dada,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\reports\phase14_final_statistical_tests_report.md,5ddf909dd08f13f5a72248fef2de68e1703a300ccc541e3804d50fa8a48a0c89,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase14_final_statistical_tests_report.md,5ddf909dd08f13f5a72248fef2de68e1703a300ccc541e3804d50fa8a48a0c89,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\reports\phase16_validation_report.md,40a1970126a8680885ed57ac719ade38fd95e4556a3e40c15fd7d58fc2a82bf8,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase16_validation_report.md,40a1970126a8680885ed57ac719ade38fd95e4556a3e40c15fd7d58fc2a82bf8,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\reports\phase17_validation_report.md,47dbaec3a2a3456b9e62c52f1a17a7835100ecf728351f9380e89b079f1baea6,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase17_validation_report.md,47dbaec3a2a3456b9e62c52f1a17a7835100ecf728351f9380e89b079f1baea6,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\outputs\tables\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\outputs\tables\phase14_main_model_statistical_tests.csv,c1bcb6f83081c1c072f19523c90cc5532e1b844d2d0c7f82f0afd3bc5ba513a3,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase14_main_model_statistical_tests.csv,c1bcb6f83081c1c072f19523c90cc5532e1b844d2d0c7f82f0afd3bc5ba513a3,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\outputs\tables\phase16_degradation_summary.csv,5a8cbff51120ade01bc3997e66b5f0ef64eab688ec2f6a9db0fc69f3d923e0bd,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase16_degradation_summary.csv,5a8cbff51120ade01bc3997e66b5f0ef64eab688ec2f6a9db0fc69f3d923e0bd,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\outputs\tables\phase17_combined_stratified_summary.csv,a1c74cef2508b47545936cad38ab2d5f3504b2a459399a0fcd5d0deb055fd24a,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase17_combined_stratified_summary.csv,a1c74cef2508b47545936cad38ab2d5f3504b2a459399a0fcd5d0deb055fd24a,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\scripts\phase13_strong_baselines.py,28c706014f8e8f73078f677f0c5a600a591203379438e153d5c82bbf3717b4b9,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase13_strong_baselines.py,28c706014f8e8f73078f677f0c5a600a591203379438e153d5c82bbf3717b4b9,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
D:\2026_PD\scripts\phase14_final_statistical_tests.py,4c0c3fe5bd6ea8a34684a3c91fa31b6516a2ca38e1630c2c84716b57e9a9ede6,True,D:\2026_AJSE_FINAL\05_COMPREHENSIVE_DATA_RESULT_AUDIT_20260730\08_REUSABLE_EVIDENCE\legacy_PD_partial_reuse\phase14_final_statistical_tests.py,4c0c3fe5bd6ea8a34684a3c91fa31b6516a2ca38e1630c2c84716b57e9a9ede6,PARTIAL_REUSE,future-window mean; H1/H3/H6 available; single 70/15/15 split
